date,forecast_growth,leadtime_growth,scrap_growth,supplier_failure,total_forecast,total_stock,total_backorders,lead_time
2026-08-03 08:40:15.998085,20,10,15,False,767558,7889559,13045,45.22833333333334
2026-08-03 09:51:29.090238,20,10,15,False,767558,7889559,13045,45.22833333333334
2026-08-03 09:51:40.714565,20,3,4,False,767558,7889559,13045,42.35016666666667
2026-08-03 09:51:48.942896,12,3,4,False,716387,7889559,12299,42.35016666666667
2026-08-03 09:51:49.730698,12,3,4,False,716387,7889559,12299,42.35016666666667
2026-08-03 09:51:54.517877,12,3,4,True,716387,7889559,12299,42.35016666666667
